"chemical_ID","Annotation.confidence.score","Annotation.raw.score","Module_RTclust","mz","time","MatchCategory","theoretical.mz","delta_ppm","Name","Formula","MonoisotopicMass","Adduct","mean_int_vec"
"HMDB14607",3,262135922.330097,"7_2_16","293.17954",158.7,"Unique",293.1792,1.16,"Sodium Tetradecyl Sulfate","C14H30O4S","294.186480138","M-H",3900752.3
"HMDB14713",3,16113600,"3_10_3","245.05440",56.6,"Multiple",NA,NA,"Fenoprofen","C15H14O3","-","M-H_[+4]",1875789.38392857
"HMDB14713",3,16113600,"3_10_3","241.08637",59.1,"Multiple",241.08702,2.7,"Fenoprofen","C15H14O3","242.094294314","M-H",2309406.6
"HMDB14732",3,225592105.263158,"38_4_14","229.03806",290.3,"Unique",NA,NA,"Amiloride","C6H8ClN7O","-","M-H_[-1]",1209306.89285714
"HMDB14732",3,225592105.263158,"38_4_14","228.04087",291.7,"Unique",228.04061,1.14,"Amiloride","C6H8ClN7O","229.04788562","M-H",2015868.4
"HMDB14786",3,212142857.142857,"67_1_2","318.95196",37.6,"Unique",NA,NA,"Mitotane","C14H10Cl4","-","M-H_[+2]",4926961.30357143
"HMDB14786",3,212142857.142857,"67_1_2","317.95126",36.9,"Unique",NA,NA,"Mitotane","C14H10Cl4","-","M-H_[-1]",14174376.1964286
"HMDB14786",3,212142857.142857,"67_1_2","316.94741",35,"Unique",316.94639,3.22,"Mitotane","C14H10Cl4","317.953661148","M-H",226194618.2
"HMDB14816",3,267326732.673267,"196_1_13","423.15392",177.9,"Unique",NA,NA,"Losartan","C22H23ClN6O","-","M-H_[+2]",2657446.17857143
"HMDB14816",3,267326732.673267,"196_1_13","422.15879",177.8,"Unique",NA,NA,"Losartan","C22H23ClN6O","-","M-H_[-1]",3756998.98214286
"HMDB14816",3,267326732.673267,"196_1_13","421.15563",177.8,"Unique",421.15491,1.71,"Losartan","C22H23ClN6O","422.162187095","M-H",9530957.4
"HMDB14892",3,4472392638.03681,"67_2_1","239.05927",26.2,"Multiple",239.05928,0.04,"Ethotoin","C11H12N2O2","204.089877638","M+Cl",1240849.9
"HMDB14892",3,4472392638.03681,"67_2_1","206.86034",21.5,"Multiple",NA,NA,"Ethotoin","C11H12N2O2","-","M-H_[+4]",174101.232142857
"HMDB14892",3,4472392638.03681,"67_2_1","204.98115",25.7,"Multiple",NA,NA,"Ethotoin","C11H12N2O2","-","M-H_[+2]",3828502.11607143
"HMDB14892",3,4472392638.03681,"67_2_1","204.08585",27.6,"Multiple",NA,NA,"Ethotoin","C11H12N2O2","-","M-H_[-1]",895685.035714286
"HMDB14892",3,4472392638.03681,"67_2_1","203.08267",27.8,"Multiple",203.0826,0.34,"Ethotoin","C11H12N2O2","204.089877638","M-H",8238678.2
"HMDB14910",3,19670245398.773,"67_2_1","351.01233",22.3,"Multiple",351.01073,4.56,"Malathion","C10H19O6PS2","330.036066232","M+Na-2H",4610311.2
"HMDB14910",3,19670245398.773,"67_2_1","365.00678",21.6,"Multiple",365.00547,3.59,"Malathion","C10H19O6PS2","330.036066232","M+Cl",915666
"HMDB14910",3,19670245398.773,"67_2_1","332.94712",24.6,"Multiple",NA,NA,"Malathion","C10H19O6PS2","-","M-H_[+4]",691361.267857143
"HMDB14910",3,19670245398.773,"67_2_1","333.02289",21.5,"Multiple",NA,NA,"Malathion","C10H19O6PS2","-","M-H_[+4]",1181570.48214286
"HMDB14910",3,19670245398.773,"67_2_1","331.99463",27.8,"Multiple",NA,NA,"Malathion","C10H19O6PS2","-","M-H_[+3]",560526.919642857
"HMDB14910",3,19670245398.773,"67_2_1","329.53211",21.6,"Multiple",NA,NA,"Malathion","C10H19O6PS2","-","M-H_[-1]",291430.125
"HMDB14910",3,19670245398.773,"67_2_1","329.03016",23,"Multiple",329.02879,4.16,"Malathion","C10H19O6PS2","330.036066232","M-H",55274681.5
"HMDB14996",3,217741935.483871,"3_2_28","304.65305",232.7,"Multiple",NA,NA,"Drostanolone","C20H32O2","-","M-H_[+2]",1756629.92857143
"HMDB14996",3,217741935.483871,"3_2_28","305.23948",232.4,"Multiple",NA,NA,"Drostanolone","C20H32O2","-","M-H_[+2]",80609277.125
"HMDB14996",3,217741935.483871,"3_2_28","304.13644",232.6,"Multiple",NA,NA,"Drostanolone","C20H32O2","-","M-H_[-1]",1413858.91071429
"HMDB14996",3,217741935.483871,"3_2_28","304.22587",232.6,"Multiple",NA,NA,"Drostanolone","C20H32O2","-","M-H_[-1]",2206705.125
"HMDB14996",3,217741935.483871,"3_2_28","304.23625",234.2,"Multiple",NA,NA,"Drostanolone","C20H32O2","-","M-H_[-1]",829352942.232143
"HMDB14996",3,217741935.483871,"3_2_28","303.23292",234.8,"Multiple",303.23295,0.1,"Drostanolone","C20H32O2","304.240230268","M-H",3826023857.3
"HMDB14998",3,228415178.571428,"3_7_3","360.18970",78,"Multiple",NA,NA,"Prednisolone","C21H28O5","-","M-H_[-1]",251953.75
"HMDB14998",3,228415178.571428,"3_7_3","359.18744",76.8,"Multiple",359.1864,2.9,"Prednisolone","C21H28O5","360.193674006","M-H",608618.9
"HMDB15109",3,1406842105.26316,"67_2_1","293.08716",21.6,"Unique",NA,NA,"Edetic Acid","C10H16N2O8","-","M-H_[+2]",4488996.70535714
"HMDB15109",3,1406842105.26316,"67_2_1","292.08049",21.8,"Unique",NA,NA,"Edetic Acid","C10H16N2O8","-","M-H_[-1]",3477155.45535714
"HMDB15109",3,1406842105.26316,"67_2_1","292.08695",22.4,"Unique",NA,NA,"Edetic Acid","C10H16N2O8","-","M-H_[-1]",26634728.9107143
"HMDB15109",3,1406842105.26316,"67_2_1","291.08336",26.8,"Unique",291.08339,0.1,"Edetic Acid","C10H16N2O8","292.090665498","M-H",361007439.3
"HMDB15397",3,263382352.941176,"257_3_2","399.20149",29.7,"Unique",NA,NA,"Sunitinib","C22H27FN4O2","-","M-H_[+2]",354116.053571429
"HMDB15397",3,263382352.941176,"257_3_2","398.20857",29.5,"Unique",NA,NA,"Sunitinib","C22H27FN4O2","-","M-H_[-1]",4009333.46428571
"HMDB15397",3,263382352.941176,"257_3_2","397.20521",29.5,"Unique",397.20453,1.71,"Sunitinib","C22H27FN4O2","398.211804333","M-H",19519704
"HMDB15415",3,259514563.106796,"196_1_3","283.15884",54.4,"Multiple",NA,NA,"Oxtriphylline","C12H21N5O3","-","M-H_[-1]",248716.517857143
"HMDB15415",3,259514563.106796,"196_1_3","282.15582",54.7,"Multiple",282.15716,4.75,"Oxtriphylline","C12H21N5O3","283.164439563","M-H",2455163.4
"HMDB15655",3,259306930.693069,"65_5_47","302.22027",219.6,"Multiple",NA,NA,"Methyltestosterone","C20H30O2","-","M-H_[-1]",18788391.5535714
"HMDB15655",3,259306930.693069,"65_5_47","301.21670",219.7,"Multiple",301.2173,1.99,"Methyltestosterone","C20H30O2","302.224580204","M-H",77754353.9
