"chemical_ID","Annotation.confidence.score","Annotation.raw.score","Module_RTclust","mz","time","MatchCategory","theoretical.mz","delta_ppm","Name","Formula","MonoisotopicMass","Adduct","mean_int_vec"
"HMDB58085",0,0,"16_21_1","762.03463",177.1,"Multiple",762.03796,4.37,"CL(18:1(11Z)18:1(9Z)22:5(7Z10Z13Z16Z19Z)18:1(11Z))","C85H150O17P2","1505.034826398","M+H+NH4",82355.2
"HMDB58086",0,0,"16_21_1","762.03463",177.1,"Multiple",762.03796,4.37,"CL(18:1(11Z)18:1(9Z)22:5(7Z10Z13Z16Z19Z)18:1(9Z))","C85H150O17P2","1505.034826398","M+H+NH4",82355.2
"HMDB58093",0,0,"16_21_1","762.03463",177.1,"Multiple",762.03796,4.37,"CL(18:1(11Z)18:1(9Z)22:6(4Z7Z10Z13Z16Z19Z)18:0)","C85H150O17P2","1505.034826398","M+H+NH4",82355.2
"HMDB58097",0,0,"0_160_1","758.51313",55.1,"Multiple",758.51686,4.92,"CL(18:1(11Z)18:1(9Z)22:6(4Z7Z10Z13Z16Z19Z)18:2(9Z12Z))","C86H148O17P2","1515.019176334","M+2H",831251.3
"HMDB58097",0,0,"0_2452_1","799.54356",42.4,"Multiple",799.54341,0.19,"CL(18:1(11Z)18:1(9Z)22:6(4Z7Z10Z13Z16Z19Z)18:2(9Z12Z))","C86H148O17P2","1515.019176334","M+2ACN+2H",1422186.2
"HMDB58102",0,0,"16_21_1","762.03463",177.1,"Multiple",762.03796,4.37,"CL(18:1(11Z)18:2(9Z12Z)18:1(11Z)18:2(9Z12Z))","C83H150O17P2","1481.034826398","M+ACN+2H",82355.2
"HMDB58102",0,0,"0_2402_1","741.52562",27.5,"Multiple",741.52469,1.25,"CL(18:1(11Z)18:2(9Z12Z)18:1(11Z)18:2(9Z12Z))","C83H150O17P2","1481.034826398","M+2H",3243372.6
"HMDB58106",0,0,"0_160_1","758.51313",55.1,"Multiple",758.51686,4.92,"CL(18:1(11Z)18:2(9Z12Z)18:1(11Z)22:6(4Z7Z10Z13Z16Z19Z))","C86H148O17P2","1515.019176334","M+2H",831251.3
"HMDB58106",0,0,"0_2452_1","799.54356",42.4,"Multiple",799.54341,0.19,"CL(18:1(11Z)18:2(9Z12Z)18:1(11Z)22:6(4Z7Z10Z13Z16Z19Z))","C86H148O17P2","1515.019176334","M+2ACN+2H",1422186.2
"HMDB58112",0,0,"16_21_1","762.03463",177.1,"Multiple",762.03796,4.37,"CL(18:1(11Z)18:2(9Z12Z)18:1(9Z)18:2(9Z12Z))","C83H150O17P2","1481.034826398","M+ACN+2H",82355.2
"HMDB58112",0,0,"0_2402_1","741.52562",27.5,"Multiple",741.52469,1.25,"CL(18:1(11Z)18:2(9Z12Z)18:1(9Z)18:2(9Z12Z))","C83H150O17P2","1481.034826398","M+2H",3243372.6
"HMDB58116",0,0,"0_160_1","758.51313",55.1,"Multiple",758.51686,4.92,"CL(18:1(11Z)18:2(9Z12Z)18:1(9Z)22:6(4Z7Z10Z13Z16Z19Z))","C86H148O17P2","1515.019176334","M+2H",831251.3
"HMDB58116",0,0,"0_2452_1","799.54356",42.4,"Multiple",799.54341,0.19,"CL(18:1(11Z)18:2(9Z12Z)18:1(9Z)22:6(4Z7Z10Z13Z16Z19Z))","C86H148O17P2","1515.019176334","M+2ACN+2H",1422186.2
"HMDB58120",0,0,"16_21_1","762.03463",177.1,"Multiple",762.03796,4.37,"CL(18:1(11Z)18:2(9Z12Z)18:2(9Z12Z)18:1(11Z))","C83H150O17P2","1481.034826398","M+ACN+2H",82355.2
"HMDB58120",0,0,"0_2402_1","741.52562",27.5,"Multiple",741.52469,1.25,"CL(18:1(11Z)18:2(9Z12Z)18:2(9Z12Z)18:1(11Z))","C83H150O17P2","1481.034826398","M+2H",3243372.6
"HMDB58121",0,0,"16_21_1","762.03463",177.1,"Multiple",762.03796,4.37,"CL(18:1(11Z)18:2(9Z12Z)18:2(9Z12Z)18:1(9Z))","C83H150O17P2","1481.034826398","M+ACN+2H",82355.2
"HMDB58121",0,0,"0_2402_1","741.52562",27.5,"Multiple",741.52469,1.25,"CL(18:1(11Z)18:2(9Z12Z)18:2(9Z12Z)18:1(9Z))","C83H150O17P2","1481.034826398","M+2H",3243372.6
"HMDB58134",0,0,"0_2475_1","824.55254",54.9,"Multiple",824.55124,1.58,"CL(18:1(11Z)18:2(9Z12Z)22:5(4Z7Z10Z13Z16Z)22:5(4Z7Z10Z13Z16Z))","C90H150O17P2","1565.034826398","M+2ACN+2H",1740413.3
"HMDB58135",0,0,"0_2475_1","824.55254",54.9,"Multiple",824.55124,1.58,"CL(18:1(11Z)18:2(9Z12Z)22:5(4Z7Z10Z13Z16Z)22:5(7Z10Z13Z16Z19Z))","C90H150O17P2","1565.034826398","M+2ACN+2H",1740413.3
"HMDB58139",0,0,"0_2475_1","824.55254",54.9,"Multiple",824.55124,1.58,"CL(18:1(11Z)18:2(9Z12Z)22:5(7Z10Z13Z16Z19Z)22:5(4Z7Z10Z13Z16Z))","C90H150O17P2","1565.034826398","M+2ACN+2H",1740413.3
"HMDB58140",0,0,"0_2475_1","824.55254",54.9,"Multiple",824.55124,1.58,"CL(18:1(11Z)18:2(9Z12Z)22:5(7Z10Z13Z16Z19Z)22:5(7Z10Z13Z16Z19Z))","C90H150O17P2","1565.034826398","M+2ACN+2H",1740413.3
"HMDB58141",0,0,"0_160_1","758.51313",55.1,"Multiple",758.51686,4.92,"CL(18:1(11Z)18:2(9Z12Z)22:6(4Z7Z10Z13Z16Z19Z)18:1(11Z))","C86H148O17P2","1515.019176334","M+2H",831251.3
"HMDB58141",0,0,"0_2452_1","799.54356",42.4,"Multiple",799.54341,0.19,"CL(18:1(11Z)18:2(9Z12Z)22:6(4Z7Z10Z13Z16Z19Z)18:1(11Z))","C86H148O17P2","1515.019176334","M+2ACN+2H",1422186.2
"HMDB58142",0,0,"0_160_1","758.51313",55.1,"Multiple",758.51686,4.92,"CL(18:1(11Z)18:2(9Z12Z)22:6(4Z7Z10Z13Z16Z19Z)18:1(9Z))","C86H148O17P2","1515.019176334","M+2H",831251.3
"HMDB58142",0,0,"0_2452_1","799.54356",42.4,"Multiple",799.54341,0.19,"CL(18:1(11Z)18:2(9Z12Z)22:6(4Z7Z10Z13Z16Z19Z)18:1(9Z))","C86H148O17P2","1515.019176334","M+2ACN+2H",1422186.2
"HMDB58150",0,0,"16_21_1","762.03463",177.1,"Multiple",762.03796,4.37,"CL(18:1(11Z)20:4(5Z8Z11Z14Z)18:1(9Z)18:0)","C83H150O17P2","1481.034826398","M+ACN+2H",82355.2
"HMDB58150",0,0,"0_2402_1","741.52562",27.5,"Multiple",741.52469,1.25,"CL(18:1(11Z)20:4(5Z8Z11Z14Z)18:1(9Z)18:0)","C83H150O17P2","1481.034826398","M+2H",3243372.6
"HMDB58176",0,0,"0_2482_1","829.54357",179.2,"Multiple",829.54341,0.19,"CL(18:1(11Z)20:4(5Z8Z11Z14Z)22:5(4Z7Z10Z13Z16Z)22:5(4Z7Z10Z13Z16Z))","C91H148O17P2","1575.019176334","M+2ACN+2H",137240.4
"HMDB58177",0,0,"0_2482_1","829.54357",179.2,"Multiple",829.54341,0.19,"CL(18:1(11Z)20:4(5Z8Z11Z14Z)22:5(4Z7Z10Z13Z16Z)22:5(7Z10Z13Z16Z19Z))","C91H148O17P2","1575.019176334","M+2ACN+2H",137240.4
"HMDB58181",0,0,"0_2482_1","829.54357",179.2,"Multiple",829.54341,0.19,"CL(18:1(11Z)20:4(5Z8Z11Z14Z)22:5(7Z10Z13Z16Z19Z)22:5(4Z7Z10Z13Z16Z))","C91H148O17P2","1575.019176334","M+2ACN+2H",137240.4
"HMDB58193",0,0,"16_21_1","762.03463",177.1,"Multiple",762.03796,4.37,"CL(18:1(11Z)22:5(4Z7Z10Z13Z16Z)18:1(9Z)18:1(11Z))","C85H150O17P2","1505.034826398","M+H+NH4",82355.2
"HMDB58194",0,0,"16_21_1","762.03463",177.1,"Multiple",762.03796,4.37,"CL(18:1(11Z)22:5(4Z7Z10Z13Z16Z)18:1(9Z)18:1(9Z))","C85H150O17P2","1505.034826398","M+H+NH4",82355.2
"HMDB58203",0,0,"0_2475_1","824.55254",54.9,"Multiple",824.55124,1.58,"CL(18:1(11Z)22:5(4Z7Z10Z13Z16Z)18:2(9Z12Z)22:5(4Z7Z10Z13Z16Z))","C90H150O17P2","1565.034826398","M+2ACN+2H",1740413.3
"HMDB58204",0,0,"0_2475_1","824.55254",54.9,"Multiple",824.55124,1.58,"CL(18:1(11Z)22:5(4Z7Z10Z13Z16Z)18:2(9Z12Z)22:5(7Z10Z13Z16Z19Z))","C90H150O17P2","1565.034826398","M+2ACN+2H",1740413.3
"HMDB58208",0,0,"0_2482_1","829.54357",179.2,"Multiple",829.54341,0.19,"CL(18:1(11Z)22:5(4Z7Z10Z13Z16Z)20:4(5Z8Z11Z14Z)22:5(4Z7Z10Z13Z16Z))","C91H148O17P2","1575.019176334","M+2ACN+2H",137240.4
