"chemical_ID","Annotation.confidence.score","Annotation.raw.score","Module_RTclust","mz","time","MatchCategory","theoretical.mz","delta_ppm","Name","Formula","MonoisotopicMass","Adduct","mean_int_vec"
"HMDB08848",0,0,"177_138_1","810.57634",198.1,"Multiple",810.57851,2.68,"PE(14:024:0)","C43H86NO8P","775.609105245","M+Cl",78740.2
"HMDB08868",0,0,"222_1_1","734.47231",23.6,"Multiple",734.47422,2.6,"PE(14:1(9Z)20:2(11Z14Z))","C39H72NO8P","713.499554797","M+Na-2H",662696.5
"HMDB08876",0,0,"0_3049_1","762.50243",272.6,"Multiple",762.50552,4.05,"PE(14:1(9Z)22:2(13Z16Z))","C41H76NO8P","741.530854925","M+Na-2H",202526.2
"HMDB08891",0,0,"11_5_1","710.45318",24.5,"Multiple",710.45331,0.18,"PE(15:016:1(9Z))","C36H70NO8P","675.483904733","M+Cl",956239.9
"HMDB08929",0,0,"222_1_1","734.47231",23.6,"Multiple",734.47422,2.6,"PE(16:018:3(6Z9Z12Z))","C39H72NO8P","713.499554797","M+Na-2H",662696.5
"HMDB08930",0,0,"222_1_1","734.47231",23.6,"Multiple",734.47422,2.6,"PE(16:018:3(9Z12Z15Z))","C39H72NO8P","713.499554797","M+Na-2H",662696.5
"HMDB08935",0,0,"0_3049_1","762.50243",272.6,"Multiple",762.50552,4.05,"PE(16:020:3(5Z8Z11Z))","C41H76NO8P","741.530854925","M+Na-2H",202526.2
"HMDB08936",0,0,"0_3049_1","762.50243",272.6,"Multiple",762.50552,4.05,"PE(16:020:3(8Z11Z14Z))","C41H76NO8P","741.530854925","M+Na-2H",202526.2
"HMDB08940",0,0,"177_138_1","810.57634",198.1,"Multiple",810.57851,2.68,"PE(16:022:0)","C43H86NO8P","775.609105245","M+Cl",78740.2
"HMDB08955",0,0,"11_5_1","710.45318",24.5,"Multiple",710.45331,0.18,"PE(16:1(9Z)15:0)","C36H70NO8P","675.483904733","M+Cl",956239.9
"HMDB08961",0,0,"222_1_1","734.47231",23.6,"Multiple",734.47422,2.6,"PE(16:1(9Z)18:2(9Z12Z))","C39H72NO8P","713.499554797","M+Na-2H",662696.5
"HMDB08967",0,0,"0_3049_1","762.50243",272.6,"Multiple",762.50552,4.05,"PE(16:1(9Z)20:2(11Z14Z))","C41H76NO8P","741.530854925","M+Na-2H",202526.2
"HMDB08984",0,0,"222_1_1","680.50250",23.8,"Multiple",680.5019,0.88,"PE(16:1(9Z)P-18:1(11Z))","C39H74NO7P","699.520290239","M-H2O-H",13378401.8
"HMDB08985",0,0,"222_1_1","680.50250",23.8,"Multiple",680.5019,0.88,"PE(16:1(9Z)P-18:1(9Z))","C39H74NO7P","699.520290239","M-H2O-H",13378401.8
"HMDB08995",0,0,"0_3049_1","762.50243",272.6,"Multiple",762.50552,4.05,"PE(18:018:3(6Z9Z12Z))","C41H76NO8P","741.530854925","M+Na-2H",202526.2
"HMDB08996",0,0,"0_3049_1","762.50243",272.6,"Multiple",762.50552,4.05,"PE(18:018:3(9Z12Z15Z))","C41H76NO8P","741.530854925","M+Na-2H",202526.2
"HMDB08998",0,0,"177_138_1","810.57634",198.1,"Multiple",810.57851,2.68,"PE(18:020:0)","C43H86NO8P","775.609105245","M+Cl",78740.2
"HMDB09027",0,0,"0_3049_1","762.50243",272.6,"Multiple",762.50552,4.05,"PE(18:1(11Z)18:2(9Z12Z))","C41H76NO8P","741.530854925","M+Na-2H",202526.2
"HMDB09050",0,0,"0_3023_1","748.52381",288.4,"Multiple",748.52626,3.27,"PE(18:1(11Z)P-18:1(11Z))","C41H78NO7P","727.551590367","M+Na-2H",55850
"HMDB09051",0,0,"0_3023_1","748.52381",288.4,"Multiple",748.52626,3.27,"PE(18:1(11Z)P-18:1(9Z))","C41H78NO7P","727.551590367","M+Na-2H",55850
"HMDB09060",0,0,"0_3049_1","762.50243",272.6,"Multiple",762.50552,4.05,"PE(18:1(9Z)18:2(9Z12Z))","C41H76NO8P","741.530854925","M+Na-2H",202526.2
